Min,Styrofoam + Cold Pack,Styrofoam + Cold Pack,Pool Noodle + Cold Pack (alternating),Pool Noodle + Cold Pack (alternating),Cold Pack,Cold Pack,Cold Pack,,,,,,,,,,,,,,,,,,
0,2.8,0.7,1.4,1.1,1.2,-0.1,2.1,,,,,,,,,,,,,,,,,,
0.5,4.2,1.5,4.2,2.3,1.7,0.3,3.7,,,,,,,,,,,,,,,,,,
1,6.6,2.3,8.9,4.7,2.7,0.6,4.6,,,,,,,,,,,,,,,,,,
1.5,9.5,3,12.8,5.5,3.7,0.8,5.3,,,,,,,,,,,,,,,,,,
2,11.8,3.6,15.5,6.8,4.6,1.2,5.9,,,,,,,,,,,,,,,,,,
2.5,13.9,5.7,17.6,8.2,5.4,1.3,6.5,,,,,,,,,,,,,,,,,,
3,16.3,7.3,19.8,9.7,6.2,2.1,7.2,,,,,,,,,,,,,,,,,,
3.5,19.2,9.8,22.5,10.9,8.8,2.7,8.1,,,,,,,,,,,,,,,,,,
4,22.8,11,28.4,12,11.8,5.2,9.4,,,,,,,,,,,,,,,,,,
4.5,26.9,13.8,35.5,14.5,16.5,11.2,12,,,,,,,,,,,,,,,,,,
5,31,18.3,41.8,18.9,22,18.3,16.3,,,,,,,,,,,,,,,,,,
5.5,35.1,23.4,47,31.9,27.9,25.7,22.2,,,,,,,,,,,,,,,,,,
6,38.8,28.5,51.5,39,33.2,32.1,28.1,,,,,,,,,,,,,,,,,,
6.5,42.9,32.9,55.4,44.7,38.2,37.9,33.6,,,,,,,,,,,,,,,,,,
7,46.8,37.2,58.7,50.3,42.5,43,38.3,,,,,,,,,,,,,,,,,,
7.5,50.2,41,61.6,54.9,46.4,47.5,42.8,,,,,,,,,,,,,,,,,,
8,53.7,44.5,64.3,58.7,50,51.4,46.9,,,,,,,,,,,,,,,,,,
8.5,56.9,47.9,66.5,62.9,53.3,55,50.5,,,,,,,,,,,,,,,,,,
9,59.5,50.8,68.4,65.6,56.1,58.1,53.7,,,,,,,,,,,,,,,,,,
9.5,61.9,53.6,70.1,68.4,58.6,61.1,56.9,,,,,,,,,,,,,,,,,,
10,63.2,56.1,71.7,70.9,61,63.8,59.9,,,,,,,,,,,,,,,,,,
10.5,65.1,58.5,73.3,73.1,63.1,66.1,62.7,,,,,,,,,,,,,,,,,,
11,66.5,60.7,74.4,74.9,64.9,68.3,65.1,,,,,,,,,,,,,,,,,,
11.5,68.2,62.6,75.4,76.4,66.6,70.2,67.5,,,,,,,,,,,,,,,,,,
12,70,64.5,76.4,77.9,68.1,71.8,69.7,,,,,,,,,,,,,,,,,,
12.5,71.8,66.3,77.1,79,69.6,73.4,71.4,,,,,,,,,,,,,,,,,,
13,73.2,67.8,77.8,80.1,71,74.8,72.7,,,,,,,,,,,,,,,,,,
13.5,74.7,69.3,78.2,80.9,72.3,76,74,,,,,,,,,,,,,,,,,,
14,76.1,70.6,78.8,81.7,73.6,77.1,75.1,,,,,,,,,,,,,,,,,,
14.5,77.3,71.9,79.1,82.4,74.7,78.1,76,,,,,,,,,,,,,,,,,,
15,78.4,73.1,79.5,83,75.7,79,76.8,,,,,,,,,,,,,,,,,,
15.5,78.4,74.1,79.9,83.5,76.6,79.8,77.7,,,,,,,,,,,,,,,,,,
16,78.4,75,80.4,84,77,80.5,78.5,,,,,,,,,,,,,,,,,,
16.5,78.4,75.9,80.9,84.3,77.5,81.2,79.3,,,,,,,,,,,,,,,,,,
17,78.4,76.8,81.2,84.7,78.2,81.8,79.9,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
